"STATE","VIOLENTCRIME","MURDER","RAPE","ROBBERY","AGGRAVATEDASSAULT","PROPERTYCRIME","BURGLARY","LARCENYTHEFT","MOTORVEHICLETHEFT","YEAR"
"Alabama",490.2,7.9,34.6,121.2,326.5,3922.2,884.4,2737.2,300.5,1999
"Alaska",631.5,8.6,83.5,91.4,448,3731.7,611.8,2690.5,429.4,1999
"Arizona",551.2,8,28.9,152.5,361.6,5345.4,1034.4,3510.5,800.5,1999
"Arkansas",425.2,5.6,27.8,79.3,312.5,3617.5,850.3,2506,261.2,1999
"California",627.2,6,28.2,181.1,411.7,3177.8,675.3,1994.2,508.3,1999
"Colorado",340.5,4.6,41.4,75.3,219.2,3722.9,665.2,2693,364.8,1999
"Connecticut",345.6,3.3,19.9,123.5,198.9,3043.7,588,2111.5,344.2,1999
"Delaware",734,3.2,70.2,197.9,462.7,4101.1,695.6,3001.9,403.6,1999
"District of Columbia",1627.7,46.4,47.8,644.3,889.2,6439.3,976.3,4181.3,1281.7,1999
"Florida",854,5.7,46.3,211.6,590.5,5351.6,1200.3,3534.5,616.7,1999
"Georgia",534,7.5,29.8,166.4,330.3,4614.6,917.2,3182.3,515.2,1999
"Hawaii",235,3.7,29.9,88.1,113.3,4602.4,795,3414.2,393.2,1999
"Idaho",244.9,2,33.3,17.8,191.8,2904.4,610.3,2142.5,151.6,1999
"Illinois",732.5,7.7,34.2,219.4,471.2,3774.1,712.3,2632.1,429.7,1999
"Indiana",374.6,6.6,27,109.3,231.7,3391.3,714.5,2335.4,341.4,1999
"Iowa",280,1.5,27.2,36.6,214.7,2944,593,2172,179,1999
"Kansas",382.8,6,40.1,77.1,259.5,4055.9,824.2,3003.8,227.9,1999
"Kentucky",300.6,5.4,26.3,80,189,2577.5,610.9,1748.7,217.9,1999
"Louisiana",732.7,10.7,33.1,173.6,515.2,5014.2,1092.7,3425.2,496.2,1999
"Maine",112.2,2.2,19.1,19.4,71.6,2762.8,601.1,2026.5,135.2,1999
"Maryland",743.4,9,30,263.7,440.7,4175.8,835.8,2848,492,1999
